activity,module_code,module_short_title,module_leader,assm_type,assm_component,assm_sem,sem_1_cred,sem_2_cred,assm_percent,start_date,time_released_to_students_9_30am,spot_date,submission_time_2pm_for_cw_9_30am_for_24hr_tests,end_date,reminder_sent,date_of_when_marks_feedback_were_released_to_students,late_y_n,if_late_why,assessment_title_for_ness_canvas,check_ness_assessment_matches_mof,set_up_coursework_exam_on_ness,submission_point_added_to_canvas,query,notes,faculty_marketing_document_added
ACE1000 Other Assessment Written assessment - semester 1,ACE1000,Intro to Marketing & Consumer Behaviour,Dr O Collins,Other Assessment,Written Exercise,1,10,10,50,2022-11-03,NA,2022-11-08,NA,2022-12-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE1000 Other Assessment Written assessment - semester 2,ACE1000,Intro to Marketing & Consumer Behaviour,Dr O Collins,Other Assessment,Written Exercise,2,10,10,50,2023-03-19,NA,2023-03-25,NA,2023-04-21,NA,NA,NA,NA,Report on soil and LUC,NA,NA,NA,NA,NA,NA
ACE1006 Other Assessment Online assessment: multiple choice,ACE1006,Introductory Business Economics,Dr MC Hubbard,Other Assessment,Computer Assessment,1,10,0,50,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,Report on RRA,NA,NA,NA,NA,NA,NA
ACE1006 Other Assessment Online MCQ assessment,ACE1006,Introductory Business Economics,Dr MC Hubbard,Other Assessment,Computer Assessment,1,10,0,50,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,Report on rivers,NA,NA,NA,NA,NA,NA
ACE1008 Other Assessment Canvas MCQ testing application of information recorded in,ACE1008,Environment and Land Resources,Dr E Lopez-Capel,Other Assessment,Computer Assessment,1,10,0,40,2022-08-31,NA,2022-10-05,NA,2022-11-02,NA,NA,NA,NA,Report on Vegetation,NA,NA,NA,NA,NA,NA
ACE1008 Other Assessment online PC exam,ACE1008,Environment and Land Resources,Dr E Lopez-Capel,Other Assessment,Computer Assessment,1,10,0,60,2022-08-31,NA,2022-09-27,NA,2022-10-25,NA,NA,NA,NA,Report,NA,NA,NA,NA,NA,NA
ACE1010 Other Assessment Report,ACE1010,Environment and Land Use Field Course,Mrs HF Adamson,Other Assessment,Report,2,0,10,75,2023-04-18,NA,2023-04-28,NA,2023-05-26,NA,NA,NA,NA,Weed Portfolio,NA,NA,NA,NA,NA,NA
ACE1010 Other Assessment RRA,ACE1010,Environment and Land Use Field Course,Mrs HF Adamson,Other Assessment,Written Exercise,2,0,10,25,2023-04-30,NA,2023-05-04,NA,2023-06-01,NA,NA,NA,NA,Disease lab report,NA,NA,NA,NA,NA,NA
ACE1018 Other Assessment Group presentation of gap analysis (10mins 5mins Q&A),ACE1018,Intro to Nutrition and Food Science,Dr O Collins,Other Assessment,Prof Skill Assessmnt,2,10,10,60,2023-06-30,NA,2023-06-30,NA,2023-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE1018 Other Assessment written assessment / examination,ACE1018,Intro to Nutrition and Food Science,Dr O Collins,Other Assessment,Written Exercise,2,10,10,40,2023-03-16,NA,2023-03-26,NA,2023-04-23,NA,NA,NA,NA,Scientific report,NA,NA,NA,NA,NA,NA
ACE1022 Exam N/A,ACE1022,Crop Pests,Dr PE Bilsborrow,Exam,Written Examination,2,0,10,80,2023-05-01,NA,2023-04-30,NA,2023-05-28,NA,NA,NA,NA,CV,NA,NA,NA,NA,NA,NA
ACE1022 Other Assessment Weed portfolio - 12 pages,ACE1022,Crop Pests,Dr PE Bilsborrow,Other Assessment,Portfolio,2,0,10,20,2023-05-27,NA,2023-06-01,NA,2023-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE1033 Other Assessment Group presentation (15 minutes) on a chosen agribusiness,ACE1033,Introduction to Business Management,Mr SC Parker,Other Assessment,Case Study,1,10,0,30,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,Group oral presentation,NA,NA,NA,NA,NA,NA
ACE1033 Other Assessment Online quiz,ACE1033,Introduction to Business Management,Mr SC Parker,Other Assessment,Computer Assessment,1,10,0,70,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE1040 Other Assessment Poster and PowerPoint presentation on chosen topic (circa,ACE1040,Skills,Mrs HF Adamson,Other Assessment,Poster,1,10,10,30,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE1040 Other Assessment Scientific report (1000 words),ACE1040,Skills,Mrs HF Adamson,Other Assessment,Report,2,10,10,40,2023-04-21,NA,2023-04-26,NA,2023-05-16,NA,NA,NA,NA,Second practical-Report,NA,NA,NA,NA,NA,NA
ACE1040 Other Assessment Essay plan with references and search strategy (500 words).,ACE1040,Skills,Mrs HF Adamson,Other Assessment,Written Exercise,1,10,10,30,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,Report on soil and LUC,NA,NA,NA,NA,NA,NA
ACE1041 Formative Assessment Individual proposal of agri-system to be investigated (400,ACE1041,Agri-Food Supply Chains,Mr SC Parker,Formative Assessment,Research Proposal,2,10,10,0,2023-03-20,NA,2023-03-25,NA,2023-04-14,NA,NA,NA,NA,Report on RRA,NA,NA,NA,NA,NA,NA
ACE1041 Other Assessment Short answer questions on common materials studied on f-f,ACE1041,Agri-Food Supply Chains,Mr SC Parker,Other Assessment,Computer Assessment,2,10,10,50,2023-04-03,NA,2023-04-08,NA,2023-04-28,NA,NA,NA,NA,Report on rivers,NA,NA,NA,NA,NA,NA
ACE1041 Other Assessment Technical report (2000 wds) on an agri-food chain,ACE1041,Agri-Food Supply Chains,Mr SC Parker,Other Assessment,Report,2,10,10,50,2023-05-01,NA,2023-05-06,NA,2023-05-26,NA,NA,NA,NA,Report on Vegetation,NA,NA,NA,NA,NA,NA
ACE1045 Other Assessment Individual report (1500 words),ACE1045,Rural Field Skills,Mrs HF Adamson,Other Assessment,Report,2,0,20,40,2023-05-09,NA,2023-05-14,NA,2023-06-03,NA,NA,NA,NA,Investigative report,NA,NA,NA,NA,NA,NA
ACE1045 Other Assessment Report (1500 words),ACE1045,Rural Field Skills,Mrs HF Adamson,Other Assessment,Report,2,0,20,40,2023-05-28,NA,2023-06-02,NA,2023-06-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE1045 Other Assessment RRA,ACE1045,Rural Field Skills,Mrs HF Adamson,Other Assessment,Written Exercise,2,0,20,20,2023-03-21,NA,2023-03-26,NA,2023-04-15,NA,NA,NA,NA,Practical Lab Report 1,NA,NA,NA,NA,NA,NA
ACE1046 Other Assessment 1 x 3hr Laboratory Practical,ACE1046,"Plants, Environment, Agriculture",Dr S Peacock,Other Assessment,Practical/Lab Report,2,0,10,15,2023-04-30,NA,2023-05-05,NA,2023-05-25,NA,NA,NA,NA,Practical Lab Report 2,NA,NA,NA,NA,NA,NA
ACE1046 Other Assessment 1 x 3hr Field-based Practical,ACE1046,"Plants, Environment, Agriculture",Dr S Peacock,Other Assessment,Practical/Lab Report,2,0,10,15,2023-04-02,NA,2023-04-07,NA,2023-04-27,NA,NA,NA,NA,Visit report 3,NA,NA,NA,NA,NA,NA
ACE1046 Other Assessment Alternative assessment,ACE1046,"Plants, Environment, Agriculture",Dr S Peacock,Other Assessment,Written Exercise,2,0,10,70,2023-05-15,NA,2023-05-20,NA,2023-06-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE1047 Formative Assessment Ipsative assessment allows the student to undertake a,ACE1047,Intro to Agri-Food Business Management,Mr SC Parker,Formative Assessment,Report,1,10,10,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,Powerpoint presentation and marketing plan,NA,NA,NA,NA,NA,NA
ACE1047 Formative Assessment Ipsative assessment allows the student to undertake a,ACE1047,Intro to Agri-Food Business Management,Mr SC Parker,Formative Assessment,Report,1,10,10,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,Our Heritage Proposal,NA,NA,NA,NA,NA,NA
ACE1047 Other Assessment Group work: a 15-min presentation on a chosen agribusiness,ACE1047,Intro to Agri-Food Business Management,Mr SC Parker,Other Assessment,Case Study,1,10,10,15,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,Landscape Description,NA,NA,NA,NA,NA,NA
"ACE1047 Other Assessment Computer-based, multiple-choice, unseen examination",ACE1047,Intro to Agri-Food Business Management,Mr SC Parker,Other Assessment,Computer Assessment,1,10,10,35,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,Landscape assessment,NA,NA,NA,NA,NA,NA
ACE1047 Other Assessment Ipsative assessment allows the student to undertake a,ACE1047,Intro to Agri-Food Business Management,Mr SC Parker,Other Assessment,Report,2,10,10,50,2023-05-26,NA,2023-05-31,NA,2023-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE1053 Other Assessment Written assessment,ACE1053,Intro to Marketing,Dr O Collins,Other Assessment,Written Exercise,1,10,0,100,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,Market simulation,NA,NA,NA,NA,NA,NA
ACE1054 Other Assessment Max 1750 words.,ACE1054,Intro to Consumer Behaviour,Dr O Collins,Other Assessment,Practical/Lab Report,2,0,10,100,2023-05-07,NA,2023-05-12,NA,2023-06-01,NA,NA,NA,NA,Essay,NA,NA,NA,NA,NA,NA
ACE1055 Formative Assessment A scenario based exercise testing the variables affecting,ACE1055,Intro to Agricultural Mechanisation,Mr SC Parker,Formative Assessment,Computer Assessment,1,10,0,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE1055 Other Assessment A scenario based problem involving qualified decision,ACE1055,Intro to Agricultural Mechanisation,Mr SC Parker,Other Assessment,Case Study,1,10,0,60,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,Problem solving exercise,NA,NA,NA,NA,NA,NA
ACE1055 Other Assessment Testing the understanding of the key principles discussed,ACE1055,Intro to Agricultural Mechanisation,Mr SC Parker,Other Assessment,Written Exercise,1,10,0,40,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE1056 Other Assessment Approx. 2000 words.  Individually developed essay linking,ACE1056,Animal physiology and health,Dr MA Velazquez,Other Assessment,Essay,2,0,20,80,2023-05-02,NA,2023-05-07,NA,2023-05-27,NA,NA,NA,NA,Case Study,NA,NA,NA,NA,NA,NA
ACE1056 Other Assessment Group oral presentation of an allocated topic related to,ACE1056,Animal physiology and health,Dr MA Velazquez,Other Assessment,Prof Skill Assessmnt,2,0,20,20,2023-05-09,NA,2023-05-14,NA,2023-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE1057 Exam MCQ Theory based exam,ACE1057,Natural Science Research Impact,Dr MC Leach,Exam,PC Examination,2,0,10,100,2023-03-21,NA,2023-03-26,NA,2023-04-15,NA,NA,NA,NA,Earth worm dissection,NA,NA,NA,NA,NA,NA
