programme_title,mod_code,comp,stud_no
BSc (Hons) Environmental Sci Study Abr'd,NCL3007,Yes,0
BSc (Hons) Environmental Sci Study Abr'd,ACE1008,Yes,0
BSc (Hons) Environmental Sci Study Abr'd,ACE1040,Yes,0
BSc (Hons) Environmental Sci Study Abr'd,ACE1041,No,0
BSc (Hons) Environmental Sci Study Abr'd,ACE1045,Yes,0
BSc (Hons) Environmental Sci Study Abr'd,ACE1046,Yes,0
BSc (Hons) Environmental Sci Study Abr'd,ACE1057,No,0
BSc (Hons) Environmental Sci Study Abr'd,BIO1022,No,0
BSc (Hons) Environmental Sci Study Abr'd,CEG1601,Yes,0
BSc (Hons) Environmental Sci Study Abr'd,CEG1602,Yes,0
BSc (Hons) Environmental Sci Study Abr'd,CEG1603,No,0
BSc (Hons) Environmental Sci Study Abr'd,CEG1702,Yes,0
BSc (Hons) Environmental Sci Study Abr'd,MST1207,No,0
BSc (Hons) Environmental Sci Study Abr'd,ACE2003,No,0
BSc (Hons) Environmental Sci Study Abr'd,ACE2061,Yes,0
BSc (Hons) Environmental Sci Study Abr'd,ACE2069,Yes,0
BSc (Hons) Environmental Sci Study Abr'd,ACE2074,Yes,0
BSc (Hons) Environmental Sci Study Abr'd,ACE2077,Yes,0
BSc (Hons) Environmental Sci Study Abr'd,ACE2078,No,0
BSc (Hons) Environmental Sci Study Abr'd,BIO2018,Yes,0
BSc (Hons) Environmental Sci Study Abr'd,BIO2028,No,0
BSc (Hons) Environmental Sci Study Abr'd,CEG2604,No,0
BSc (Hons) Environmental Sci Study Abr'd,CEG2606,No,0
BSc (Hons) Environmental Sci Study Abr'd,CEG2607,No,0
BSc (Hons) Environmental Sci Study Abr'd,CEG2609,Yes,0
BSc (Hons) Environmental Sci Study Abr'd,LAW2053,No,0
BSc (Hons) Environmental Sci Study Abr'd,NCL2007,No,80
BSc (Hons) Environmental Sci Study Abr'd,ACE3016,No,0
BSc (Hons) Environmental Sci Study Abr'd,ACE3017,No,0
BSc (Hons) Environmental Sci Study Abr'd,ACE3080,Yes,0
BSc (Hons) Environmental Sci Study Abr'd,ACE3207,Yes,0
BSc (Hons) Environmental Sci Study Abr'd,ACE3907,Yes,0
BSc (Hons) Environmental Sci Study Abr'd,BIO3039,No,0
BSc (Hons) Environmental Sci Study Abr'd,BIO3049,No,0
BSc (Hons) Environmental Sci Study Abr'd,CEG3606,No,0
BSc (Hons) Environmental Sci Study Abr'd,CEG3707,No,0
BSc (Hons) Environmental Sci Study Abr'd,LAW3015,No,0
BSc Agric Animal Product Sci with Placem,NCL3000,Yes,2
BSc Agric Animal Product Sci with Placem,ACE1006,Yes,0
BSc Agric Animal Product Sci with Placem,ACE1008,Yes,0
BSc Agric Animal Product Sci with Placem,ACE1022,Yes,0
BSc Agric Animal Product Sci with Placem,ACE1033,Yes,0
BSc Agric Animal Product Sci with Placem,ACE1040,Yes,0
BSc Agric Animal Product Sci with Placem,ACE1041,Yes,0
BSc Agric Animal Product Sci with Placem,ACE1046,Yes,0
BSc Agric Animal Product Sci with Placem,ACE1055,Yes,0
BSc Agric Animal Product Sci with Placem,ACE1056,Yes,0
BSc Agric Animal Product Sci with Placem,ACE2006,Yes,0
BSc Agric Animal Product Sci with Placem,ACE2010,Yes,0
BSc Agric Animal Product Sci with Placem,ACE2018,Yes,0
BSc Agric Animal Product Sci with Placem,ACE2020,Yes,0
BSc Agric Animal Product Sci with Placem,ACE2024,Yes,0
BSc Agric Animal Product Sci with Placem,ACE2028,Yes,0
BSc Agric Animal Product Sci with Placem,ACE2063,Yes,0
BSc Agric Animal Product Sci with Placem,ACE2068,Yes,0
BSc Agric Animal Product Sci with Placem,ACE2069,Yes,0
BSc Agric Animal Product Sci with Placem,ACE2076,Yes,0
BSc Agric Animal Product Sci with Placem,ACE2077,Yes,0
BSc Agric Animal Product Sci with Placem,ACE2035,No,0
BSc Agric Animal Product Sci with Placem,ACE3023,No,0
BSc Agric Animal Product Sci with Placem,ACE3034,No,0
BSc Agric Animal Product Sci with Placem,ACE3036,No,0
BSc Agric Animal Product Sci with Placem,ACE3040,Yes,0
BSc Agric Animal Product Sci with Placem,ACE3088,Yes,0
BSc Agric Animal Product Sci with Placem,ACE3089,No,14
BSc Agric Animal Product Sci with Placem,ACE3100,Yes,0
BSc Agric Animal Product Sci with Placem,ACE3204,Yes,0
BSc Agric Animal Product Sci with Placem,ACE3211,Yes,0
BSc Agric Animal Product Sci with Placem,ACE3908,Yes,0
BSc Agric Animal Product Sci with Placem,ACE3909,No,6
BSc Agric Animal Product Sci with Placem,LAW2053,No,0
BSc Agric Farm Business Mgt with Placem',NCL3000,Yes,2
BSc Agric Farm Business Mgt with Placem',ACE1006,Yes,0
BSc Agric Farm Business Mgt with Placem',ACE1008,Yes,0
BSc Agric Farm Business Mgt with Placem',ACE1022,Yes,0
BSc Agric Farm Business Mgt with Placem',ACE1033,Yes,0
BSc Agric Farm Business Mgt with Placem',ACE1040,Yes,0
BSc Agric Farm Business Mgt with Placem',ACE1041,Yes,0
BSc Agric Farm Business Mgt with Placem',ACE1046,Yes,0
BSc Agric Farm Business Mgt with Placem',ACE1055,Yes,0
BSc Agric Farm Business Mgt with Placem',ACE1056,Yes,0
BSc Agric Farm Business Mgt with Placem',ACE2006,Yes,0
BSc Agric Farm Business Mgt with Placem',ACE2010,Yes,0
BSc Agric Farm Business Mgt with Placem',ACE2018,Yes,0
BSc Agric Farm Business Mgt with Placem',ACE2020,Yes,0
BSc Agric Farm Business Mgt with Placem',ACE2024,Yes,0
BSc Agric Farm Business Mgt with Placem',ACE2028,Yes,0
BSc Agric Farm Business Mgt with Placem',ACE2063,Yes,0
BSc Agric Farm Business Mgt with Placem',ACE2068,Yes,0
BSc Agric Farm Business Mgt with Placem',ACE2069,Yes,0
BSc Agric Farm Business Mgt with Placem',ACE2076,Yes,0
BSc Agric Farm Business Mgt with Placem',ACE2077,Yes,0
BSc Agric Farm Business Mgt with Placem',ACE3023,No,0
BSc Agric Farm Business Mgt with Placem',ACE3024,Yes,0
BSc Agric Farm Business Mgt with Placem',ACE3034,No,0
BSc Agric Farm Business Mgt with Placem',ACE3036,Yes,0
BSc Agric Farm Business Mgt with Placem',ACE3040,No,0
BSc Agric Farm Business Mgt with Placem',ACE3088,No,0
BSc Agric Farm Business Mgt with Placem',ACE3100,No,0
BSc Agric Farm Business Mgt with Placem',ACE3211,No,0
BSc Agric Farm Business Mgt with Placem',ACE3908,Yes,0
BSc Agric Farm Business Mgt with Placem',ACE3909,No,6
BSc Agric Farm Business Mgt with Placem',LAW2053,Yes,0
BSc Agric in Agronomy with Place,NCL3000,Yes,2
BSc Agric in Agronomy with Place,ACE1006,Yes,0
BSc Agric in Agronomy with Place,ACE1008,Yes,0
BSc Agric in Agronomy with Place,ACE1022,Yes,0
BSc Agric in Agronomy with Place,ACE1033,Yes,0
BSc Agric in Agronomy with Place,ACE1040,Yes,0
BSc Agric in Agronomy with Place,ACE1041,Yes,0
BSc Agric in Agronomy with Place,ACE1046,Yes,0
BSc Agric in Agronomy with Place,ACE1055,Yes,0
BSc Agric in Agronomy with Place,ACE1056,Yes,0
BSc Agric in Agronomy with Place,ACE2006,Yes,0
BSc Agric in Agronomy with Place,ACE2010,Yes,0
BSc Agric in Agronomy with Place,ACE2018,Yes,0
BSc Agric in Agronomy with Place,ACE2020,Yes,0
BSc Agric in Agronomy with Place,ACE2024,Yes,0
BSc Agric in Agronomy with Place,ACE2028,Yes,0
BSc Agric in Agronomy with Place,ACE2063,Yes,0
BSc Agric in Agronomy with Place,ACE2068,Yes,0
BSc Agric in Agronomy with Place,ACE2069,Yes,0
BSc Agric in Agronomy with Place,ACE2076,Yes,0
BSc Agric in Agronomy with Place,ACE2077,Yes,0
BSc Agric in Agronomy with Place,ACE2003,No,0
BSc Agric in Agronomy with Place,ACE3023,Yes,0
BSc Agric in Agronomy with Place,ACE3034,Yes,0
BSc Agric in Agronomy with Place,ACE3036,No,0
BSc Agric in Agronomy with Place,ACE3037,Yes,0
BSc Agric in Agronomy with Place,ACE3088,No,0
BSc Agric in Agronomy with Place,ACE3210,No,0
BSc Agric in Agronomy with Place,ACE3908,Yes,0
BSc Agric in Agronomy with Place,ACE3909,Yes,6
BSc Agric in Agronomy with Place,BIO2018,No,0
BSc Agric in Agronomy with Place,BIO2028,No,0
BSc Agric in Agronomy with Place,BIO3052,No,0
BSc Agric in Agronomy with Place,LAW2053,No,0
BSc Agric with Hons Animal Prod Science,ACE1006,Yes,0
BSc Agric with Hons Animal Prod Science,ACE1008,Yes,0
BSc Agric with Hons Animal Prod Science,ACE1022,Yes,0
